"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"cálculo numérico",False,"cálculo numérico","cálculo em uma variável; geometria analítica",72.0,14.0,58.0,0.0,16,"004","1",1.0
"desenho técnico básico",False,"desenho técnico básico","não há",36.0,18.0,18.0,0.0,17,"000","",""
"eletrônica avançada",False,"eletrônica avançada","circuitos elétricos ii",72.0,8.0,64.0,0.0,18,"003","2",1.0
"engenharia clínica hospitalar",False,"engenharia clinica hospitalar aplicada","introdução à eletrotécnica",72.0,36.0,36.0,0.0,19,"002","3",1.0
"engenharia médica aplicada",False,"engenharia médica aplicada","fisiologia humana; imagens biomédicas; transdução de grandezas biomédicas",72.0,36.0,36.0,0.0,20,"001","4",1.0
"fenômenos do contínuo",False,"fenômenos do contínuo","não há",72.0,0.0,72.0,0.0,21,"000","",""
"fenômenos do contínuo experimental",False,"fenômenos do contínuo experimental","não há",36.0,36.0,0.0,0.0,22,"000","",""
"fenômenos eletromagnéticos",False,"fenômenos eletromagnéticos","não há",72.0,0.0,72.0,0.0,23,"005","0",4.0
"fenômenos eletromagnéticos experimental",False,"fenômenos eletromagnéticos experimental","não há",36.0,36.0,0.0,0.0,24,"000","",""
"fenômenos mecânicos",False,"fenômenos mecânicos","não há",72.0,0.0,72.0,0.0,25,"005","0",4.0
"fenômenos mecânicos experimental",False,"fenômenos mecânicos experimental","não há",36.0,36.0,0.0,0.0,26,"000","",""
"fisiologia humana i",False,"fisiologia humana","não há",72.0,12.0,60.0,0.0,27,"005","0",2.0
"fisiologia humana ii",False,"fisiologia humana ii","fisiologia humana i",72.0,12.0,60.0,0.0,28,"004","1",1.0
"fundamentos de biologia moderna",False,"fundamentos da biologia moderna","não há",72.0,0.0,72.0,0.0,29,"005","0",2.0
"geometria analítica",False,"geometria analítica","não há",72.0,8.0,64.0,0.0,30,"005","0",4.0
"imagens biomédicas",False,"imagens biomédicas","análise de sinais; algoritmos em bioinformática",72.0,36.0,36.0,0.0,31,"002","3",2.0
"instrumentos eletromédicos",False,"instrumentos eletromédicos","circuitos elétricos ii",72.0,12.0,60.0,0.0,32,"003","2",2.0
"introdução à eletrotécnica",False,"introdução à eletrotécnica","circuitos elétricos ii",36.0,0.0,36.0,0.0,33,"003","2",2.0
"laboratório de circuitos elétricos",False,"laboratório de circuitos elétricos","fenômenos eletromagnéticos; circuitos elétricos i",36.0,36.0,0.0,0.0,34,"004","1",1.0
"laboratório de eletrônica digital",False,"laboratório de eletrônica digital","circuitos digitais",36.0,36.0,0.0,0.0,35,"004","1",1.0
"lógica de programação",False,"lógica de programação","não há",72.0,30.0,42.0,0.0,36,"005","0",4.0
"mecânica geral",False,"mecânica geral","geometria analítica; fenômenos mecânicos",72.0,0.0,72.0,0.0,37,"004","1",3.0
"microeconomia",False,"microeconomia","não há",36.0,0.0,36.0,0.0,38,"000","",""
"probabilidade e estatística",False,"probabilidade e estatística","cálculo em uma variável",72.0,16.0,56.0,0.0,39,"004","1",1.0
"processamento de sinais",False,"processamento de sinais","análise de sinais; algoritmos em bioinformática",36.0,36.0,0.0,0.0,40,"002","3",1.0
"química geral",False,"química geral","não há",72.0,0.0,72.0,0.0,41,"005","0",2.0
"química geral experimental",False,"química geral experimental","não há",72.0,72.0,0.0,0.0,42,"000","",""
"sistemas embarcados",False,"sistemas embarcados","não há",72.0,36.0,36.0,0.0,43,"005","0",2.0
"sistemas mecânicos",False,"sistemas mecânicos","mecânica geral",72.0,0.0,72.0,0.0,44,"003","2",2.0
"séries e equações diferenciais ordinárias",False,"séries e equações diferenciais ordinárias","cálculo em uma variável",72.0,10.0,62.0,0.0,45,"004","1",4.0
"teorias administrativas",False,"teorias administrativas","não há",36.0,0.0,36.0,0.0,46,"000","",""
"transdução de grandezas biomédicas",False,"transdução de grandezas biomédicas","circuitos elétricos ii",72.0,20.0,52.0,0.0,47,"003","2",2.0
"álgebra linear",False,"álgebra linear","geometria analítica",72.0,10.0,62.0,0.0,48,"004","1",1.0
